place_id,name,rating,latitude,longitude,vicinity
ChIJK64sJozHwoARjbp8LOI35Qs,San Salvador Restaurant,4.0,34.0405442,-118.2912596,"1828 Vermont Ave, Los Angeles"
ChIJMWuQIozHwoARKMM_RjS6ITw,El Pulgarcito De America Restaurant,3.7,34.0398257,-118.2920819,"1608 W Washington Blvd, Los Angeles"
ChIJASc2t5THwoAR7dZfOXtmrro,La Pupusa Urban Eatery,4.5,34.0388752,-118.2807943,"1051 W Washington Blvd G, Los Angeles"
ChIJJUMC8Ey5woARIg1Vf_r9n2M,Cafe Mana,5.0,34.0225349,-118.2524975,"2115 S Central Ave, Los Angeles"
ChIJgcPB6C25woARIqUxtNFjcGI,Pupuseria La Union,4.6,34.0529018,-118.3028697,"3099 W Olympic Blvd, Los Angeles"
ChIJT7q1MOnHwoARf0TJ4WvIR6Q,L.A. Pupusa House,4.8,34.0833308,-118.3051244,"4814 Melrose Ave, Los Angeles"
ChIJbZEVbq64woARXtlSkWyQTEs,Little San Salvador Restaurant,4.2,34.0868835,-118.3095806,"901 N Western Ave Suite #3, Los Angeles"
ChIJeaNHWHq4woAR2vUg4C6wFwY,Salsabor Restaurant,4.1,34.0433871,-118.3080419,"2262 Venice Blvd., Los Angeles"
ChIJOYubl6XFwoARQu0ySUM5-iU,El Sereno Pupusa,4.9,34.0889513,-118.1700024,"5168 Huntington Dr S, Los Angeles"
ChIJYyzJMPPHwoARPDduCbk9PGY,El Migueleno,4.1,34.0349496,-118.2917406,"2301 S Vermont Ave, Los Angeles"
ChIJo4JrMErIwoAR7YNoUbky9_A,Restaurante Salvadoreno,4.3,33.9828302,-118.2737924,"6216 Main St, Los Angeles"
ChIJJY1HhhzPwoAR74ntGYz5-uc,Mi Pueblo Salvadoran Restaurant,4.7,34.0168011,-118.1582145,"1128 S Atlantic Blvd, East Los Angeles"
ChIJK6dgKLO4woARBGlTd5Ol6Eo,La Pupusa Loca,3.7,34.0905139,-118.3141653,"5716 Santa Monica Blvd, Los Angeles"
ChIJw5cMFVHPwoARjLK3hlrIx7k,El Salsabor Restaurant,4.2,34.0315706,-118.19808,"522 S Lorena St, Los Angeles"
ChIJYRzdaNbHwoARMLaYoPJ4qdU,Costa Del Sol Restaurant,4.1,34.025,-118.2597222,"2201 San Pedro St, Los Angeles"
ChIJt5ses73HwoARErDWDSmkyDQ,La Tecleña,4.3,34.0469576,-118.2732155,"1443 W 11th St #1227, Los Angeles"
ChIJB-CP2pvHwoARzoVH6WwbZ3A,El Corredor Restaurant,4.2,34.0394739,-118.2917655,"1917 S Vermont Ave, Los Angeles"
ChIJVRckmja_woARYMSxU_pzNQo,Pupuseria Salvadore,4.1,34.0937763,-118.3269428,"1247 Vine St, Los Angeles"
ChIJURyaily4woAR6dBQ_KzZDVw,Restaurant Pupusería,4.6,34.0393316,-118.3273149,Los Angeles
ChIJ4S9SZMHOwoARi676Pq9VUWs,Los Cabos the Pupusa House,4.3,33.984404,-118.1862725,"6033 Atlantic Blvd, Maywood"
ChIJ96bgvYXHwoAR5YnCw9FD77k,Pulgarcito Family Restaurant,4.2,34.0471545,-118.2918038,"2500 W Pico Blvd, Los Angeles"
ChIJz3kzBl3HwoARmqhbMYJEJC0,El Mercadito Salvadoreno,4.4,34.0500733,-118.2920815,"1133 Vermont Ave, Los Angeles"
